,spotify_id,name,followers,popularity,genres,chart_hits
231,2vm8GdHyrJh2O2MfbQFYG0,Ingrid Michaelson,780402.0,59,"['acoustic pop', 'ectofolk', 'lilith', 'neo mellow', 'pop rock']","['us (1)', 'at (1)', 'ca (2)', 'cz (1)', 'ee (1)', 'de (1)', 'gr (1)', 'hk (2)', 'hu (1)', 'is (1)', 'ie (1)', 'lv (2)', 'lt (1)', 'my (2)', 'mt (2)', 'ph (2)', 'pl (1)', 'sg (2)', 'sk (1)', 'ch (1)', 'tw (2)', 'tr (1)']"
234,0NIIxcxNHmOoyBx03SfTCD,Tinashe,2440457.0,69,"['alternative r&b', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'rap', 'uk pop', 'urban contemporary']","['us (3)', 'gb (2)', 'au (3)', 'be (3)', 'bg (4)', 'ca (5)', 'cz (3)', 'dk (2)', 'ee (2)', 'de (1)', 'gr (2)', 'hk (3)', 'hu (2)', 'is (2)', 'ie (1)', 'it (1)', 'lv (2)', 'lt (3)', 'my (3)', 'mt (2)', 'nl (1)', 'nz (3)', 'no (2)', 'ph (2)', 'pl (2)', 'sg (3)', 'sk (2)', 'se (1)', 'ch (4)', 'tw (4)', 'tr (2)']"
242,4kYSro6naA4h99UJvo89HB,Cardi B,20361435.0,80,"['dance pop', 'pop', 'rap']","['us (19)', 'gb (17)', 'ar (2)', 'au (16)', 'at (10)', 'be (10)', 'bo (3)', 'br (5)', 'bg (19)', 'ca (19)', 'cl (2)', 'co (4)', 'cr (6)', 'cy (15)', 'cz (9)', 'dk (11)', 'do (14)', 'ec (2)', 'eg (3)', 'sv (5)', 'ee (11)', 'fi (11)', 'fr (7)', 'de (10)', 'gr (16)', 'gt (3)', 'hn (6)', 'hk (10)', 'hu (11)', 'is (17)', 'in (2)', 'id (5)', 'ie (17)', 'il (9)', 'it (6)', 'jp (6)', 'lv (11)', 'lt (12)', 'lu (14)', 'my (8)', 'mt (10)', 'mx (3)', 'ma (3)', 'nl (10)', 'nz (14)', 'ni (5)', 'no (11)', 'pa (7)', 'py (3)', 'pe (4)', 'ph (7)', 'pl (6)', 'pt (10)', 'ro (14)', 'ru (2)', 'sa (3)', 'sg (9)', 'sk (10)', 'za (5)', 'kr (3)', 'es (4)', 'se (11)', 'ch (10)', 'tw (10)', 'th (7)', 'tr (6)', 'ua (2)', 'ae (4)', 'uy (3)', 'vn (5)', 'ad (1)']"
249,2GHclqNVjqGuiE5mA7BEoc,Common,833451.0,62,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'gangster rap', 'hip hop', 'neo soul', 'political hip hop', 'rap']","['us (1)', 'be (1)', 'ca (1)', 'dk (1)', 'hk (1)', 'is (1)', 'ie (1)', 'pa (1)', 'pl (1)', 'pt (1)', 'sk (1)']"
260,7DMveApC7UnC2NPfPvlHSU,Cheat Codes,2087675.0,71,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'tropical house', 'uk pop']","['us (7)', 'gb (4)', 'ar (3)', 'au (4)', 'at (5)', 'be (5)', 'bo (2)', 'br (3)', 'bg (4)', 'ca (7)', 'cl (2)', 'co (2)', 'cr (2)', 'cy (4)', 'cz (5)', 'dk (3)', 'do (2)', 'ec (2)', 'sv (2)', 'ee (6)', 'fi (5)', 'fr (2)', 'de (3)', 'gr (4)', 'gt (2)', 'hn (2)', 'hk (7)', 'hu (6)', 'is (2)', 'id (7)', 'ie (4)', 'il (1)', 'it (2)', 'jp (1)', 'lv (5)', 'lt (8)', 'lu (4)', 'my (7)', 'mt (4)', 'mx (2)', 'nl (4)', 'nz (4)', 'ni (3)', 'no (8)', 'pa (2)', 'py (2)', 'pe (2)', 'ph (8)', 'pl (7)', 'pt (4)', 'ro (1)', 'sg (9)', 'sk (8)', 'es (2)', 'se (8)', 'ch (6)', 'tw (10)', 'th (6)', 'tr (4)', 'uy (2)', 'vn (2)']"
273,5f7VJjfbwm532GiveGC0ZK,Lil Baby,11530234.0,89,"['atl hip hop', 'atl trap', 'rap', 'trap']","['us (62)', 'gb (16)', 'au (6)', 'at (3)', 'be (6)', 'bg (14)', 'ca (51)', 'cy (10)', 'cz (3)', 'dk (5)', 'do (1)', 'ee (4)', 'fi (3)', 'fr (2)', 'de (3)', 'gr (11)', 'hn (1)', 'hk (2)', 'hu (4)', 'is (20)', 'ie (7)', 'il (4)', 'lv (7)', 'lt (10)', 'lu (16)', 'mt (11)', 'ma (4)', 'nl (5)', 'nz (5)', 'no (8)', 'pa (1)', 'pt (6)', 'ro (13)', 'sa (3)', 'sg (1)', 'sk (4)', 'za (13)', 'se (3)', 'ch (8)', 'tw (2)', 'th (1)', 'ae (7)']"
280,4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,27956268.0,82,"['dance pop', 'pop', 'post-teen pop', 'uk pop']","['us (23)', 'gb (21)', 'ar (18)', 'au (18)', 'at (14)', 'be (18)', 'bo (12)', 'br (21)', 'bg (25)', 'ca (25)', 'cl (8)', 'co (14)', 'cr (16)', 'cy (24)', 'cz (15)', 'dk (12)', 'do (15)', 'ec (9)', 'eg (9)', 'sv (18)', 'ee (17)', 'fi (14)', 'fr (8)', 'de (12)', 'gr (25)', 'gt (11)', 'hn (11)', 'hk (24)', 'hu (24)', 'is (12)', 'in (8)', 'id (10)', 'ie (25)', 'il (11)', 'it (9)', 'jp (10)', 'lv (16)', 'lt (23)', 'lu (20)', 'my (25)', 'mt (22)', 'mx (11)', 'ma (8)', 'nl (17)', 'nz (16)', 'ni (14)', 'no (17)', 'pa (19)', 'py (8)', 'pe (10)', 'ph (19)', 'pl (16)', 'pt (25)', 'ro (14)', 'sa (9)', 'sg (25)', 'sk (25)', 'za (10)', 'kr (3)', 'es (13)', 'se (14)', 'ch (18)', 'tw (26)', 'th (17)', 'tr (6)', 'ae (10)', 'uy (19)', 'vn (13)']"
281,5EvFsr3kj42KNv97ZEnqij,Shaggy,1795159.0,72,"['dance pop', 'pop rap', 'reggae fusion']","['us (1)', 'gb (2)', 'ar (1)', 'au (1)', 'at (1)', 'be (1)', 'br (1)', 'bg (1)', 'ca (3)', 'cl (2)', 'co (2)', 'cr (1)', 'cz (2)', 'do (1)', 'ec (2)', 'sv (2)', 'ee (1)', 'fi (4)', 'de (1)', 'gr (3)', 'gt (2)', 'hn (2)', 'hk (2)', 'hu (2)', 'is (1)', 'ie (2)', 'it (2)', 'lv (1)', 'lt (1)', 'my (2)', 'mt (1)', 'mx (3)', 'nl (1)', 'nz (1)', 'ni (1)', 'no (2)', 'pa (2)', 'pe (1)', 'ph (2)', 'pl (2)', 'pt (1)', 'sa (1)', 'sg (2)', 'sk (2)', 'es (3)', 'se (1)', 'ch (2)', 'tw (2)', 'tr (2)']"
360,6y5amJcTjeDgLXIjtQLMst,SAYGRACE,173252.0,57,"['dance pop', 'pop', 'r&b']","['us (1)', 'gb (1)', 'au (1)', 'at (1)', 'be (1)', 'bo (1)', 'br (1)', 'bg (1)', 'ca (1)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (1)', 'dk (1)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (1)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (1)', 'gt (1)', 'hn (1)', 'hk (1)', 'hu (1)', 'is (1)', 'id (1)', 'ie (2)', 'it (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'my (1)', 'mt (1)', 'mx (1)', 'nl (1)', 'nz (1)', 'ni (1)', 'no (2)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'sg (1)', 'sk (1)', 'es (1)', 'se (1)', 'ch (1)', 'tw (1)', 'tr (1)']"
375,1xr2G8Hlx4QWmT9HaUbmoO,Young Stoner Life,90775.0,65,"['hip hop', 'rap', 'southern hip hop', 'trap']","['us (10)', 'gb (3)', 'au (1)', 'at (2)', 'be (1)', 'bg (3)', 'ca (7)', 'cy (2)', 'dk (1)', 'eg (1)', 'ee (1)', 'fi (1)', 'de (2)', 'gr (2)', 'hu (1)', 'is (5)', 'ie (1)', 'il (1)', 'lv (3)', 'lt (2)', 'lu (3)', 'ma (3)', 'nl (1)', 'nz (1)', 'no (1)', 'pt (1)', 'ro (4)', 'ru (1)', 'sa (1)', 'sk (2)', 'za (7)', 'kr (2)', 'se (1)', 'ch (3)', 'ae (3)']"
