Source,Target,Type,Id,Label,Weight
794,230,Undirected,23353,,1
491,15,Undirected,23354,,1
2378,499,Undirected,23355,,1
1469,459,Undirected,23356,,1
879,261,Undirected,23357,,1
785,85,Undirected,23358,,1
872,130,Undirected,23359,,1
1116,86,Undirected,23360,,1
794,357,Undirected,23361,,1
610,81,Undirected,23362,,1
436,91,Undirected,23363,,1
97,13,Undirected,23364,,1
372,187,Undirected,23365,,1
655,372,Undirected,23366,,1
304,24,Undirected,23367,,1
2893,372,Undirected,23368,,1
1459,2,Undirected,23369,,1
370,263,Undirected,23370,,1
1170,695,Undirected,23371,,1
2365,470,Undirected,23372,,1
113,1,Undirected,23373,,1
613,225,Undirected,23374,,1
2144,523,Undirected,23375,,1
752,467,Undirected,23376,,1
1438,276,Undirected,23377,,1
1404,287,Undirected,23378,,1
1709,652,Undirected,23379,,1
865,597,Undirected,23380,,1
272,103,Undirected,23381,,1
1062,451,Undirected,23382,,1
1191,484,Undirected,23383,,1
583,429,Undirected,23384,,1
436,383,Undirected,23385,,1
838,608,Undirected,23386,,1
2812,155,Undirected,23387,,1
809,767,Undirected,23388,,1
836,831,Undirected,23389,,1
836,587,Undirected,23390,,1
589,436,Undirected,23391,,1
628,43,Undirected,23392,,1
673,545,Undirected,23393,,1
390,85,Undirected,23394,,1
578,536,Undirected,23395,,1
543,183,Undirected,23396,,1
836,53,Undirected,23397,,1
361,187,Undirected,23398,,1
1351,5,Undirected,23399,,1
975,652,Undirected,23400,,1
981,279,Undirected,23401,,1
2666,553,Undirected,23402,,1
943,752,Undirected,23403,,1
668,417,Undirected,23404,,1
274,155,Undirected,23405,,1
2451,845,Undirected,23406,,1
673,33,Undirected,23407,,1
441,347,Undirected,23408,,1
794,377,Undirected,23409,,1
414,11,Undirected,23410,,1
180,111,Undirected,23411,,1
618,444,Undirected,23412,,1
466,155,Undirected,23413,,1
614,605,Undirected,23414,,1
782,8,Undirected,23415,,1
687,312,Undirected,23416,,1
440,97,Undirected,23417,,1
304,103,Undirected,23418,,1
1230,470,Undirected,23419,,1
2698,85,Undirected,23420,,1
873,589,Undirected,23421,,1
871,492,Undirected,23422,,1
729,132,Undirected,23423,,1
1438,312,Undirected,23424,,1
987,331,Undirected,23425,,1
3021,593,Undirected,23426,,1
2812,46,Undirected,23427,,1
417,28,Undirected,23428,,1
643,599,Undirected,23429,,1
778,457,Undirected,23430,,1
436,53,Undirected,23431,,1
761,529,Undirected,23432,,1
628,12,Undirected,23433,,1
648,434,Undirected,23434,,1
1607,731,Undirected,23435,,1
754,673,Undirected,23436,,1
2799,879,Undirected,23437,,1
564,94,Undirected,23438,,1
676,499,Undirected,23439,,1
2032,918,Undirected,23440,,1
1999,652,Undirected,23441,,1
859,624,Undirected,23442,,1
939,690,Undirected,23443,,1
1772,265,Undirected,23444,,1
972,12,Undirected,23445,,1
741,540,Undirected,23446,,1
628,413,Undirected,23447,,1
1568,515,Undirected,23448,,1
1453,111,Undirected,23449,,1
687,659,Undirected,23450,,1
532,241,Undirected,23451,,1
719,668,Undirected,23452,,1
272,57,Undirected,23453,,1
628,344,Undirected,23454,,1
1833,740,Undirected,23455,,1
648,224,Undirected,23456,,1
865,668,Undirected,23457,,1
460,176,Undirected,23458,,1
